last_review,number_of_reviews,room_type,host_host_id,bed_type,price,host_host_id.1,property_type,address_country,host_host_is_superhost,host_host_total_listings_count,address_market,availability_availability_30,availability_availability_60,availability_availability_90,availability_availability_365,review_year,review_month,review_day
2018-10-07,106,Private room,22959695,Real Bed,50,22959695,House,United States,False,8,New York,0,0,0,0,2018,10,07
2019-03-03,39,Entire home/apt,57060253,Real Bed,400,57060253,Apartment,Hong Kong,True,2,Hong Kong,6,16,40,315,2019,03,03
2018-09-17,20,Private room,666066,Real Bed,63,666066,Apartment,Turkey,True,13,Istanbul,0,0,0,262,2018,09,17
2019-02-25,47,Entire home/apt,31766138,Real Bed,1499,31766138,Apartment,Hong Kong,False,3,Hong Kong,6,19,49,139,2019,02,25
2019-02-23,2,Entire home/apt,8379752,Real Bed,55,8379752,Other,Spain,False,1,Barcelona,1,31,61,61,2019,02,23
2019-01-03,40,Entire home/apt,134698146,Real Bed,92,134698146,Apartment,Spain,False,41,Barcelona,9,23,46,252,2019,01,03
2017-08-11,1,Entire home/apt,135737610,Real Bed,156,135737610,Apartment,Canada,False,1,Montreal,27,57,87,87,2017,08,11
2019-02-01,15,Entire home/apt,4459553,Real Bed,350,4459553,Apartment,Spain,False,203,Barcelona,8,20,38,288,2019,02,01
2017-09-20,1,Entire home/apt,36714324,Real Bed,70,36714324,Camper/RV,Canada,False,2,Montreal,0,0,0,0,2017,09,20
2017-08-20,3,Private room,140943945,Real Bed,13,140943945,Condominium,Canada,False,1,Montreal,29,59,89,179,2017,08,20
2018-01-07,1,Entire home/apt,11772319,Real Bed,395,11772319,House,Australia,False,1,Sydney,0,0,0,0,2018,01,07
2018-03-25,1,Entire home/apt,3106503,Real Bed,321,3106503,Apartment,Brazil,False,2,Rio De Janeiro,24,54,84,359,2018,03,25
2019-03-07,111,Entire home/apt,91549951,Real Bed,75,91549951,Apartment,Canada,True,2,Montreal,5,19,31,38,2019,03,07
2019-02-19,8,Entire home/apt,113020313,Real Bed,75,113020313,Condominium,Spain,False,23,Barcelona,10,16,32,39,2019,02,19
2019-03-03,24,Entire home/apt,12402075,Real Bed,200,12402075,House,Australia,True,8,Sydney,13,13,13,72,2019,03,03
